state,year,candidate,party,votes
West Bengal,2019,Amit Sharma,BJP,543403
Andhra Pradesh,2014,Alok Verma,Independent,589606
Uttarakhand,2019,Vikram Gupta,SP,242592
Odisha,2014,Kiran Rao,INC,397105
Maharashtra,2024,Suresh Patel,SP,215097
Sikkim,2019,Pooja Desai,INC,398603
Haryana,2019,Deepak Chawla,BJP,410339
Punjab,2014,Kiran Rao,INC,234956
Chhattisgarh,2014,Meena Chopra,BJP,331758
Punjab,2014,Simran Kaur,AITC,468803
Haryana,2014,Vinod Joshi,Independent,458800
Uttarakhand,2019,Deepak Chawla,AITC,152178
Andhra Pradesh,2014,Neha Kulkarni,INC,681716
Mizoram,2019,Rajiv Das,SP,67768
Jharkhand,2019,Vikram Gupta,BJP,478887
Maharashtra,2014,Meena Chopra,AITC,267585
Gujarat,2024,Kiran Rao,AITC,371707
Gujarat,2019,Kiran Rao,AITC,398970
Assam,2024,Anita Menon,SP,58104
Haryana,2014,Meena Chopra,BJP,193602
Uttar Pradesh,2024,Pallavi Sharma,BJP,159414
Tripura,2024,Suresh Patel,AITC,590001
Jharkhand,2024,Rajesh Nair,SP,663911
Manipur,2019,Alok Verma,SP,373333
Himachal Pradesh,2024,Pallavi Sharma,AITC,518128
Gujarat,2024,Sonal Tiwari,BJP,64581
Arunachal Pradesh,2019,Neha Kulkarni,SP,141046
West Bengal,2019,Vikram Gupta,SP,191582
Sikkim,2024,Neha Kulkarni,BJP,474040
Andhra Pradesh,2014,Pooja Desai,Independent,331814
Haryana,2024,Suresh Patel,Independent,428313
Meghalaya,2024,Vinod Joshi,Independent,147391
Assam,2024,Manoj Singh,Independent,476387
Arunachal Pradesh,2024,Vinod Joshi,INC,340382
Meghalaya,2024,Anita Menon,INC,210504
Haryana,2014,Prakash Yadav,AITC,418594
Sikkim,2014,Deepak Chawla,AITC,227153
Delhi,2024,Rajesh Nair,Independent,97151
Andhra Pradesh,2014,Alok Verma,AITC,269332
Andhra Pradesh,2014,Rajesh Nair,INC,415709
Nagaland,2024,Pooja Desai,Independent,574354
Andhra Pradesh,2014,Anita Menon,AITC,363754
Manipur,2019,Manoj Singh,AITC,482088
Punjab,2019,Sonal Tiwari,Independent,687169
Jharkhand,2014,Alok Verma,AITC,520932
Arunachal Pradesh,2014,Manoj Singh,INC,116581
Uttarakhand,2019,Alok Verma,AITC,506021
Haryana,2024,Vikram Gupta,Independent,412728
Goa,2014,Prakash Yadav,Independent,651923
Himachal Pradesh,2024,Meena Chopra,SP,83372
Jharkhand,2019,Pooja Desai,Independent,249591
Gujarat,2024,Suresh Patel,Independent,289479
Gujarat,2014,Amit Sharma,Independent,629225
Mizoram,2019,Sonal Tiwari,AITC,482332
Nagaland,2019,Rajesh Nair,AITC,664200
Andhra Pradesh,2019,Neha Kulkarni,BJP,468637
Mizoram,2019,Suresh Patel,SP,170569
Karnataka,2019,Amit Sharma,SP,317714
