Unnamed: 0,Date,User,Tweet,Emotion
0,2019-05-18 19:49:52+00:00,Sunnysweet16,wonder why no academic or journalist asks inc india and rahul gandhi a simple questionwhat danger was there to the original constitution that they changed it more than  times in the course of  yrs they ruled loksabhaelections,pos
1,2019-05-18 18:56:52+00:00,drnitinchaube,"congrats for the change australiavotes and scottmorrison sir

is the same wind of change going to bring in congress or upacoming loksabhaelections along with rahul incindia rahulgandhi dickdarryl rkhuria kukk mahilacongress",pos
2,2019-05-18 18:54:01+00:00,mrvivek07,"peopel say govt ne  years kya kiya
unse pucho  years govt kaise rahi
kaamboltahainindianelections congress bjp incindia bjpindia electionng aajtak navbharattimes zeenews timesofindia httweets rahulgandhi",neg
3,2019-05-18 18:52:03+00:00,JosephPravinP,"ajaymaken rahulgandhi and as a final touch modi ji proved this world that not rahul but he is the real pappu thereby making rahulgandhi the perfect fit for the future

thank you modi ji 
bjp congress rahulgandhi elections",pos
4,2019-05-18 18:31:10+00:00,VandanaMegastar,loksabhaelections anyone not having mass backing cant be a visionary politician such netas are destined to work for lobbies difference between rahul amp modi is that modi has a cow and rahul doesnt have rahul cant hide behind a cow he will deliver or will have to go,pos
5,2019-05-18 18:20:48+00:00,RGspeak,incindia should release a video of rahulgandhi visiting kedarnath shrine and that of modi immediately it would be a study in contrast amp important for everyone to comprehend kedarnathtemple kedarnath rahulgandhi,pos
6,2019-05-18 17:45:45+00:00,SandipGhose,thakkarsameet bdutt surjitbhalla n smacked of arrogance and entitlement in turning it into a modi vs rahul contest he undermined the entire opposition campaign  making it a aur kaun hain scenario opposition should squarely blame rahulgandhi and congress for ruining their fighting chance elections,neg
7,2019-05-18 16:49:59+00:00,__Shivampandey,"rahul gandhi spotted in switzerland  hour ago source rahulgandhi is it true
divyaspandana",neg
8,2019-05-18 16:29:13+00:00,usman_majid1,bjp will be nowhere in india after may  bjp will vanish after may   rahulgandhi loksabhaelections,neg
9,2019-05-18 15:37:33+00:00,pintoo2060,"punjab 
bhatinda cong  sad neck to neck 
cong may win
ferozepur sad
faridkot sad cong neck to neck
patiala cong edge
gandhi giving challenge
chandigarhbjp
fatehgarh sahibcong 
loksabhaelections ",neg
10,2019-05-18 15:33:13+00:00,BapiM14,"iyctelangana incbasavakalyan narendramodi iyc incindia rahulgandhi priyankagandhi hardikpatel allavaru keshavyadaviyc srinivasiyc srivatsayb raksharamaiah jmscindia this is called in bjp language
a swatch amp swasth hindutva  this theory not applicable to any other person except bjpians 
question demonic possession of ",neg
11,2019-05-18 14:41:12+00:00,eccentricraj,anidigital ani rssurjewala if eci sunilarora is another naveenchawla by now rahulgandhi for his comment modi order to fire tribal  spokespersoneci would had banned rahulgandhi  hours and bjpindia would had rushed sc lol eci not acted rahulgandhi yet kedarnath amitshah bjp,neg
12,2019-05-18 14:26:38+00:00,mayursejpal,"my predictions

bjpnda   to 
congress  upa   to 
mahagathbandhan   to 

agree with me 
narendramodi amitshah
bjpindia 
rahulgandhi priyankagandhi
incindia
yeti
kejriwalassassinationclaim
kedarnath
ashoklavasa
indiragandhi
loksabhaelections",neg
13,2019-05-18 14:26:10+00:00,nagarjund,siddaramaiah mallikarjun kharge dinesh gundu rao dk shivakumar g parameshwar head to delhi to meet rahul gandhi future strategy in karnataka will be discussed loksabhaelections,pos
14,2019-05-18 13:51:06+00:00,INC_KONARKKD,rahulgandhi rg next pm of india loksabhaelections,pos
15,2019-05-18 13:50:17+00:00,INC_KONARKKD,rahulgandhi great one loksabhaelections,pos
16,2019-05-18 12:41:58+00:00,dipaksamanta,"rahulgandhi we should not speak about nehru because he is your great grandfather we shouldnt speak about indira gandhi because she is your grandmother
we shouldnt speak about rajiv gandhi because he is your father and 
rahulgandhi",neg
17,2019-05-18 12:35:22+00:00,KhoranaR,whatever the outcome of loksabhaelections rahul has emerged as a strong leader and congress cadre has been energised in all the states  an opportunity to build strong congress cadre incindia,pos
18,2019-05-18 11:56:18+00:00,bhhatu,"jhasanjay nice pic jhasanjay 
u totally rock in this pose
youngsters should learn from u how to be a bondman for gandhi family

kedarnath loksabhaelections phase namoagain ayegatomodihi modiaanewalahai",pos
