Unnamed: 0,Date,User,Tweet
0,2019-05-12 01:17:12+00:00,narendramodi,"yet another phase of the  lok sabha elections is here 

urging all those whose constituencies are polling in todays sixth phase to go out and vote i hope youngsters are voting in record numbers after all their participation makes the polls even more special"
1,2019-05-09 02:00:26+00:00,narendramodi,"will be addressing five rallies today 

looking forward to sharing ndas development agenda with the people of bankura purulia azamgarh jaunpur and prayagraj 

both uttar pradesh and west bengal are witnessing great support towards bjp"
2,2019-05-08 13:41:51+00:00,narendramodi,delhi has always given great love and affection to bjp in a short while from now will be addressing a rally at the historic ramlila maidan in delhi do watch
3,2019-05-06 01:18:46+00:00,narendramodi,"requesting all those voting in todays fifth phase of the  lok sabha elections to do so in large numbers 

a vote is the most effective way to enrich our democracy and contribute to indias better future 

i hope my young friends turnout in record numbers"
4,2019-04-29 01:18:03+00:00,narendramodi,"another phase of the general elections begins today i hope those voting today do so in large numbers and break the voting records of the previous three phases 

a special appeal to young voters to head to the polling booth and exercise their franchise"
5,2019-04-24 03:08:45+00:00,narendramodi,"the campaign takes me to parts of jharkhand and west bengal 

will speak at a rally in lohardaga

will then address rallies in bolpur and ranaghat in west bengal where bjp is rising and tmc rallies are super flops"
6,2019-04-23 01:17:29+00:00,narendramodi,"urging all those voting in todays third phase of the  lok sabha elections to do so in record numbers your vote is precious and will shape the direction our nation takes in the years to come 

ill be voting in ahmedabad in a short while from now"
7,2019-04-22 04:21:17+00:00,narendramodi,"will be heading to maharashtra and rajasthan yet again to seek peoples blessings 

calling upon the people of dindori nandurbar udaipur and jodhpur to join the rallies in large numbers i shall talk about the bjps development agenda"
8,2019-04-21 03:07:10+00:00,narendramodi,"heading westwards today will join rallies in patan gujarat chittorgarh and barmer rajasthan 

gujarat and rajasthan have seen the pioneering work of bjp 

in rajasthan there is a sense of betrayal and despondency after congress came to power people will reject congress"
9,2019-04-18 01:22:57+00:00,narendramodi,"dear citizens of india

phase  of the lok sabha polls start today i am sure all those whose seats are polling today will strengthen our democracy by exercising their franchise 

i hope more youngsters head to the polling booths and vote"
10,2019-04-15 14:36:02+00:00,narendramodi,"do watch my interview with ddnewslive and rajyasabhatv at  pm tonight 

have spoken on a wide range of issues concerning the nation and the elections of course"
11,2019-04-14 02:58:19+00:00,narendramodi,"another day another set of rallies and the great opportunity of interacting with my fellow indians

will join rallies in kathua jammu and kashmir aligarh and moradabad uttar pradesh 

as the campaign is progressing i can see that bjps support is steadily rising"
12,2019-04-11 02:38:12+00:00,narendramodi,"this morning will campaign for nda at a rally in bhagalpur bihar 

later in the day will be in assam where i will join public meetings in mangaldai and silchar 

the mood across the nation is firmly in favour of the nda"
13,2019-04-11 01:29:41+00:00,narendramodi," lok sabha elections commence today

i call upon all those whose constituencies are voting in the first phase today to turn out in record numbers and exercise their franchise 

i specially urge young and firsttime voters to vote in large numbers"
14,2019-04-10 02:44:19+00:00,narendramodi,todays public meetings will take place in gujarat and goa where bjps good governance has positively impacted several lives will be addressing rallies in junagadh songadh and panaji bjpgujarat bjpgoa
15,2019-04-09 13:27:51+00:00,narendramodi,shri bhima mandavi was a dedicated karyakarta of the bjp diligent and courageous he assiduously served the people of chhattisgarh his demise is deeply anguishing condolences to his family and supporters om shanti
16,2019-04-06 02:51:28+00:00,narendramodi,i would be campaigning in balod chhattisgarh today people of the state are already tired of congress misrule congress came to power on false promises which they are unable to deliver on i will talk about ndas work amp seek peoples blessings for lok sabha polls bjpcgstate
17,2019-04-05 04:26:20+00:00,narendramodi,i would be addressing campaign rallies in amroha saharanpur uttar pradesh and dehradun uttarakhand today looking forward to interacting with the people of these places and elaborating on the bjps development agenda
18,2019-04-03 04:45:17+00:00,narendramodi,"glad to be going back to arunachal pradesh today will address a public meeting in pasighat 

in arunachal pradesh like the rest of the northeast bjp is gaining substantial popularity our good work stands in contrast to congress apathy and loot bjparunachal"
19,2019-03-30 01:38:13+00:00,narendramodi,would be addressing a rally in aalo arunachal pradesh today over the last few years the bjparunachal government in the state has done exceptional work in various sectors i will request the people of the state to bless bjp in the lok sabha and vidhan sabha polls
20,2019-03-25 14:20:46+00:00,narendramodi,"birthday wishes to my valued cabinet colleague chbirendersingh ji 

birender ji is a veteran leader whose experience is an asset for the bjp and central government his passion for farmer welfare and work in the steel sector is noteworthy praying for his long and healthy life"
21,2019-03-24 14:48:42+00:00,narendramodi,"if you are undertaking any innovative voter awareness campaign do share details using votekar 

together we will ensure maximum indians exercise their franchise"
